
ODKAZ;KLUCOVE SLOVO;TOP;SCORE_2018/19;SCORE_2020/21;SCORE_2022/23
"https://www.medicalnewstoday.com/articles/219352#summary";"antioxidant helps";"antioxidant vitamins";"56.02857142857143";"31.20952380952381";"61.009433962264154"
"https://www.medicalnewstoday.com/articles/219352#summary";"antioxidant helps";"antioxidant foods";"70.25714285714285";"70.21904761904761";"35.08490566037736"
"https://www.medicalnewstoday.com/articles/219352#summary";"antioxidant helps";"vitamin k";"80.55238095238096";"73.70476190476191";"85.45283018867924"
"https://www.medicalnewstoday.com/articles/219352#summary";"antioxidant helps";"selenium";"90.71428571428571";"71.16190476190476";"80.85849056603773"
"https://www.medicalnewstoday.com/articles/219352#summary";"antioxidant helps";"vitamin k";"80.55238095238096";"73.70476190476191";"85.45283018867924"
"https://www.medicalnewstoday.com/articles/219352#summary";"vitamin benefits";"b12 benefits";"63.695238095238096";"82.79047619047618";"85.61320754716981"
"https://www.medicalnewstoday.com/articles/219352#summary";"vitamin benefits";"b12 vitamin benefits";"51.304761904761904";"80.86666666666666";"83.19811320754717"
"https://www.medicalnewstoday.com/articles/219352#summary";"vitamin benefits";"d3 vitamin benefits";"68.79047619047618";"62.114285714285714";"74.26415094339623"
"https://www.medicalnewstoday.com/articles/219352#summary";"vitamin benefits";"vitamin c serum";"75.5047619047619";"76.60952380952381";"75.48113207547169"
"https://www.medicalnewstoday.com/articles/219352#summary";"vitamin benefits";"b6 vitamin benefits";"69.79047619047618";"64";"79.38679245283019"
"https://www.medicalnewstoday.com/articles/219352#summary";"vitamin benefits";"zinc";"89.65714285714286";"64.03809523809524";"82.02830188679245"
"https://www.medicalnewstoday.com/articles/219352#summary";"vitamin benefits";"zinc vitamin benefits";"58.114285714285714";"60.87619047619047";"56.64150943396226"
"https://www.medicalnewstoday.com/articles/219352#summary";"vitamin benefits";"vitamin e oil benefits";"74.00952380952381";"57.22857142857143";"77.97169811320755"
"https://www.medicalnewstoday.com/articles/219352#summary";"vitamin benefits";"magnesium vitamin benefits";"65.6";"60.34285714285714";"63.198113207547166"
"https://www.medicalnewstoday.com/articles/219352#summary";"vitamin benefits";"benefits of vitamin b";"66.24761904761905";"68.07619047619048";"75.5"
"https://www.medicalnewstoday.com/articles/219352#summary";"vitamin benefits";"vitamin k2 benefits";"54.06666666666667";"53.22857142857143";"61.0188679245283"
"https://www.medicalnewstoday.com/articles/219352#summary";"vitamin benefits";"collagen benefits";"74.34285714285714";"67.6952380952381";"77.25471698113208"
"https://www.medicalnewstoday.com/articles/219352#summary";"vitamin benefits";"benefits of zinc";"68.9047619047619";"58.21904761904762";"61.4811320754717"
"https://www.medicalnewstoday.com/articles/219352#summary";"vitamin benefits";"benefits of vitamin e capsule";"29.8";"50.31428571428572";"54.39622641509434"
"https://www.medicalnewstoday.com/articles/219352#summary";"vitamin benefits";"ashwagandha benefits";"56.857142857142854";"49.98095238095238";"64.16037735849056"
"https://www.medicalnewstoday.com/articles/219352#summary";"vitamin benefits";"vitamin b12 injection benefits";"2.6952380952380954";"9.123809523809523";"43.95283018867924"
"https://www.medicalnewstoday.com/articles/219352#summary";"vitamin benefits";"ashwagandha benefits";"56.857142857142854";"49.98095238095238";"64.16037735849056"
"https://www.medicalnewstoday.com/articles/219352#summary";"vitamin benefits";"vitamin c serum";"75.5047619047619";"76.60952380952381";"75.48113207547169"
"https://www.medicalnewstoday.com/articles/219352#summary";"vitamin benefits";"benefits of vitamin e capsule";"29.8";"50.31428571428572";"54.39622641509434"
"https://www.medicalnewstoday.com/articles/219352#summary";"vitamin benefits";"collagen benefits";"74.34285714285714";"67.6952380952381";"77.25471698113208"
"https://www.medicalnewstoday.com/articles/219352#summary";"vitamin benefits";"zinc";"89.65714285714286";"64.03809523809524";"82.02830188679245"
"https://www.medicalnewstoday.com/articles/219352#summary";"vitamin benefits";"zinc vitamin benefits";"58.114285714285714";"60.87619047619047";"56.64150943396226"
"https://www.medicalnewstoday.com/articles/219352#summary";"vitamin benefits";"vitamin k2 benefits";"54.06666666666667";"53.22857142857143";"61.0188679245283"
"https://www.medicalnewstoday.com/articles/219352#summary";"vitamin benefits";"vitamin b12 injection benefits";"2.6952380952380954";"9.123809523809523";"43.95283018867924"
"https://www.medicalnewstoday.com/articles/219352#summary";"vitamin benefits";"benefits of zinc";"68.9047619047619";"58.21904761904762";"61.4811320754717"
"https://www.medicalnewstoday.com/articles/219352#summary";"vitamin benefits";"d3 vitamin benefits";"68.79047619047618";"62.114285714285714";"74.26415094339623"
"https://www.medicalnewstoday.com/articles/219352#summary";"vitamin benefits";"magnesium vitamin benefits";"65.6";"60.34285714285714";"63.198113207547166"
